ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.225987,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.202261,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.212459,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.226349,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.235149,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.235342,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,43.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.215533,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,53.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.212435,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,53.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.219048,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,53.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.232351,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,53.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.238689,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,53.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.239347,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,61.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.242272,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,33.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.183207,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,33.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.184863,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,33.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.194728,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,33.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.213743,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,33.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.219575,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,61.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.242272,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.183207,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.184863,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.194728,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.213743,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.219575,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,21.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.182587,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,31.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.181836,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,31.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.182765,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,31.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.189035,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,31.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.210419,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,31.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.21672,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,46.25,-9999
