TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-6.074,0.0,116.102,38.031,0.0,267.715,0.0,0.87,0.0,95.165,0.0,0.247,0.0,3.194,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.61763,-9999,-9999,-9999,6.21593,-9999,9.54959,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.935797,0.91499,0.924069,0.939577,-1.18426,-1.20467,-1.19599,-1.12918,0.130457,0.0872297,0.115275,0.130897,3.57295,3.5652,3.69158,3.74633,-9999,-9999
20170102,-4.481,0.0,116.719,27.992,0.0,280.173,0.0,0.66,0.0,95.748,0.0,0.727,0.0,3.211,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.6145,-9999,-9999,-9999,5.94947,-9999,9.2488,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,1.05143,1.02862,1.03986,1.05516,-1.06009,-1.08024,-1.07166,-1.00519,0.193596,0.13416,0.171067,0.194248,2.89493,2.88324,3.00218,3.04431,-9999,-9999
20170103,-5.057,0.0,117.396,23.538,0.0,283.758,0.0,0.609,0.0,94.734,0.0,0.766,0.0,3.183,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,6.52764,-9999,-9999,-9999,3.02744,-9999,4.76159,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,1.02572,1.00353,1.01464,1.02929,-1.09434,-1.11363,-1.10543,-1.03998,0.211383,0.149167,0.186784,0.211628,2.53163,2.51876,2.63003,2.66474,-9999,-9999
20170104,-18.483,0.0,118.131,62.071,0.0,199.678,0.0,0.385,0.0,94.735,0.0,1.022,0.0,5.339,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.84285,-9999,-9999,-9999,6.21593,-9999,9.77322,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.247907,0.235683,0.240839,0.250209,-1.87216,-1.88438,-1.87922,-1.82205,0.00254557,0.00125909,0.00224934,0.00255415,4.69518,4.67465,4.81761,4.90852,-9999,-9999
20170105,-22.36,0.0,118.925,65.912,0.0,177.085,0.0,0.388,0.0,94.902,0.0,0.202,0.0,3.831,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.47,-9999,-9999,-9999,5.94947,-9999,9.12282,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,0.121528,0.113725,0.117001,0.123012,-1.98999,-1.99779,-1.99452,-1.94267,0.000280591,0.00011646,0.000247938,0.000281537,4.88832,4.86589,5.01048,5.10774,-9999,-9999
20170106,-21.525,0.0,119.776,78.47,0.0,164.086,0.0,0.438,0.0,95.545,0.0,0.035,0.0,3.063,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,6.36041,-9999,-9999,-9999,3.02744,-9999,4.52446,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.152806,0.144004,0.147706,0.154473,-1.96726,-1.97606,-1.97236,-1.91931,0.000842921,0.000393316,0.00074483,0.000845762,5.32167,5.29427,5.42403,5.55509,-9999,-9999
20170107,-19.526,0.0,120.687,67.991,0.0,181.419,0.0,0.445,0.0,96.352,0.0,0.457,0.0,4.312,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.59387,-9999,-9999,-9999,6.21593,-9999,9.28961,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.212252,0.201217,0.205866,0.214335,-1.90781,-1.91885,-1.9142,-1.85845,0.00180538,0.000879149,0.00159528,0.00181146,4.95085,4.92749,5.06963,5.17219,-9999,-9999
20170108,-16.67,0.0,121.655,67.722,0.0,208.391,0.0,0.564,0.0,96.539,0.0,1.189,0.0,3.618,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.464,-9999,-9999,-9999,5.94947,-9999,8.91665,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,0.331264,0.317248,0.32317,0.333894,-1.78026,-1.79427,-1.78835,-1.72904,0.0075622,0.00414281,0.00668218,0.00758769,4.88979,4.86665,5.00674,5.1083,-9999,-9999
20170109,-10.119,0.0,122.681,45.317,0.0,254.095,0.0,0.531,0.0,95.423,0.0,1.4,0.0,3.313,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,6.36041,-9999,-9999,-9999,3.02744,-9999,4.53732,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.668247,0.648842,0.657077,0.671856,-1.45182,-1.47122,-1.46298,-1.39729,0.0459565,0.0282311,0.0406085,0.0461114,4.01204,4.00057,4.13624,4.20285,-9999,-9999
20170110,-6.175,0.0,123.765,11.231,0.0,280.253,0.0,0.536,0.0,93.45,0.0,11.137,0.0,4.559,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.66273,-9999,-9999,-9999,6.21593,-9999,9.38438,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.935389,0.914665,0.923879,0.939099,-1.18467,-1.2047,-1.19618,-1.12983,0.142174,0.0964543,0.125629,0.142653,1.44279,1.42847,1.51111,1.52523,-9999,-9999
20170111,-15.564,0.0,124.906,23.315,0.0,227.813,0.0,0.431,0.0,94.579,0.0,2.608,0.0,3.143,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.6083,-9999,-9999,-9999,5.94947,-9999,9.04235,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,0.368918,0.35356,0.360053,0.371797,-1.7426,-1.75796,-1.75147,-1.69054,0.00736872,0.00390629,0.00651122,0.00739356,2.61207,2.59637,2.71774,2.75165,-9999,-9999
20170112,-15.948,0.0,126.105,82.983,0.0,188.538,0.0,0.647,0.0,95.502,0.0,0.045,0.0,3.893,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,6.49013,-9999,-9999,-9999,3.02744,-9999,4.63195,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.357055,0.34222,0.348491,0.359837,-1.76301,-1.77784,-1.77157,-1.71127,0.0083363,0.00458329,0.0073662,0.0083644,5.51791,5.49102,5.60947,5.75905,-9999,-9999
20170113,-18.932,0.0,127.36,87.368,0.0,187.13,0.0,0.529,0.0,97.351,0.0,0.062,0.0,2.301,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.79109,-9999,-9999,-9999,6.21593,-9999,9.51183,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.235275,0.223573,0.228507,0.23748,-1.88479,-1.89649,-1.89156,-1.83501,0.00245733,0.0012216,0.00217137,0.00246562,5.67511,5.65036,5.7314,5.92138,-9999,-9999
20170114,-11.915,0.0,128.671,83.868,0.0,201.301,0.0,0.832,0.0,96.586,0.0,0.002,0.0,3.301,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.6808,-9999,-9999,-9999,5.94947,-9999,9.10556,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,0.568414,0.550335,0.557999,0.571784,-1.54311,-1.56118,-1.55352,-1.48939,0.0337385,0.0206626,0.0298123,0.0338522,5.59363,5.5667,5.67983,5.83786,-9999,-9999
20170115,-10.075,0.0,130.039,87.247,0.0,204.399,0.0,0.957,0.0,96.121,0.0,0.0,0.0,3.679,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,6.33436,-9999,-9999,-9999,3.02744,-9999,4.51832,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.688931,0.670333,0.678226,0.69239,-1.43113,-1.44973,-1.44184,-1.37712,0.0704071,0.0462049,0.0622138,0.0706445,5.70691,5.68154,5.76844,5.95484,-9999,-9999
20170116,-5.974,0.0,131.463,71.024,0.0,242.888,0.0,0.909,0.0,95.712,0.0,0.001,0.0,2.685,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,9.55457,-9999,-9999,-9999,6.21593,-9999,9.27698,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,0.947314,0.92636,0.935755,0.951038,-1.17275,-1.19286,-1.18431,-1.11785,0.147645,0.100719,0.130464,0.148143,5.15682,5.13231,5.27913,5.38712,-9999,-9999
20170117,-1.131,0.0,132.942,55.519,0.0,271.821,0.0,1.324,0.0,95.063,0.0,0.328,0.0,1.876,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,10.1301,-9999,-9999,-9999,5.94947,-9999,8.85194,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,1.30114,1.27894,1.28971,1.30465,-0.810382,-0.829417,-0.821305,-0.756234,0.36804,0.266962,0.314542,0.368466,4.60952,4.59314,4.74184,4.82425,-9999,-9999
20170118,-0.699,0.0,134.477,83.442,0.0,251.743,0.0,1.242,0.0,94.886,0.0,0.002,0.0,4.193,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,5.98051,-9999,-9999,-9999,3.02744,-9999,4.37534,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,1.33411,1.31216,1.32282,1.33759,-0.785947,-0.804773,-0.796749,-0.731936,0.395303,0.28824,0.337935,0.39576,5.57403,5.54675,5.6672,5.81768,-9999,-9999
20170119,0.227,0.0,136.066,86.501,0.0,262.026,0.0,0.833,0.0,94.782,0.0,0.0,0.0,3.201,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,8.78276,-9999,-9999,-9999,6.21593,-9999,8.72063,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,1.4056,1.38423,1.39461,1.40897,-0.714464,-0.732785,-0.724973,-0.66078,0.456019,0.335488,0.390027,0.456547,5.71088,5.68443,5.78574,5.95961,-9999,-9999
20170120,0.441,0.0,137.709,20.937,0.0,311.287,0.0,0.82,0.0,94.284,0.0,4.904,0.0,2.233,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,9.28828,-9999,-9999,-9999,5.94947,-9999,8.09318,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,1.4215,1.40019,1.41054,1.42487,-0.690017,-0.708285,-0.700494,-0.636371,0.463859,0.340947,0.396717,0.464396,2.3624,2.34759,2.45907,2.48923,-9999,-9999
20170121,0.778,0.0,139.407,15.62,0.0,323.423,0.0,0.522,0.0,93.797,0.0,1.53,0.0,2.499,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11546,-9999,4.15031,-9999,5.49952,-9999,-9999,-9999,3.02744,-9999,3.95594,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,1.44768,1.4266,1.43684,1.45101,-0.67238,-0.690453,-0.682744,-0.61886,0.486726,0.358778,0.416338,0.487289,1.89891,1.88309,1.98347,2.00454,-9999,-9999
20170122,0.718,0.0,141.157,18.383,0.0,321.839,0.0,0.404,0.0,94.125,0.0,0.742,0.0,1.519,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10444,-9999,6.26022,-9999,8.07475,-9999,-9999,-9999,6.21593,-9999,7.90329,-9999,-9999,-9999,2.12006,0.0,-9999,2.07784,2.12006,2.12006,0.0,0.0,0.0,1.44297,1.42184,1.4321,1.4463,-0.677094,-0.695208,-0.687482,-0.623548,0.482055,0.355078,0.412327,0.482613,2.15106,2.13548,2.24274,2.26851,-9999,-9999
20170123,0.717,0.0,142.96,39.498,0.0,307.437,0.0,0.62,0.0,94.574,0.0,0.159,0.0,1.329,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.08241,-9999,6.82801,-9999,8.44095,-9999,-9999,-9999,5.94947,-9999,7.24544,-9999,-9999,-9999,2.11152,0.0,-9999,2.06929,2.11152,2.11152,0.0,0.0,0.0,1.44291,1.42179,1.43205,1.44625,-0.668607,-0.686717,-0.678993,-0.615063,0.482464,0.355449,0.412681,0.483023,3.7625,3.75479,3.88885,3.9457,-9999,-9999
