TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-8.178,0.0100806,133.672,53.277,0.0107527,250.437,0.0100806,0.692,0.0100806,94.998,0.00806452,1.17,0.0,3.228,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.09942,0.0,5.72873,0.0,8.59939,-9999,5.13318,0.0,7.70541,-9999,2.11627,0.0,-9999,2.07405,2.11627,2.11627,0.0,0.0,0.0,0.853352,0.834636,0.8434,0.856563,-1.29366,-1.28023,-1.27287,-1.20976,0.181481,0.130199,0.160362,0.181691,4.18662,4.17115,4.30504,4.38083,-9999,-9999
201702,-5.117,0.990327,197.03,85.105,0.991071,252.703,0.990327,1.526,0.989583,94.809,0.982143,0.618,0.366071,3.893,0.284226,-9999,-9999,26.70865740740741,0.9642857142857143,178.66264660493823,0.9642857142857143,32.67760030864198,0.9642857142857143,42.24429012345678,0.9642857142857143,15.296797839506171,0.9642857142857143,296.4365740740741,0.9642857142857143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.25998,0.435268,1.66105,0.0,2.49341,-9999,11.5723,0.375744,17.3712,0.387039,2.18349,0.0,-9999,2.15706,2.18349,2.18349,0.0,0.0,0.0,1.04909,1.02899,1.03917,1.05228,-1.16507,-1.15165,-1.14432,-1.0971,0.35819,0.275066,0.308736,0.358604,5.57979,5.55159,5.70089,5.8267,-9999,-9999
201703,-4.032,0.969086,288.356,132.545,0.971774,249.123,0.969086,1.762,0.969086,95.692,0.950269,0.288,1.0,3.946,0.792339,0.5284257917323876,0.7338709677419355,60.65750093703149,0.9341397849462366,274.69995611916266,0.8575268817204302,39.36808588298444,0.8575268817204302,59.521614192903535,0.9341397849462366,19.77176005747127,0.9341397849462366,303.6519708895552,0.9341397849462366,415.603,0.959677,-9999,-9999,-9999,-9999,-9999,-9999,2.357,2.992,4.069,-9999,-9999,-9999,-9999,-9999,-9999,0.832661,0.832661,0.832661,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.43781,0.960349,7.03184,0.0362903,10.5727,-9999,27.3336,0.38172,41.0975,0.536324,2.19641,0.00336022,-9999,2.16289,2.19641,2.19641,0.00336022,0.00336022,0.00336022,1.11657,1.09587,1.10637,1.11986,-1.11144,-1.0976,-1.09004,-1.03515,0.356791,0.268651,0.305503,0.357204,7.23724,7.21585,7.28164,7.54553,-9999,-9999
201704,4.937,1.0,383.049,159.207,1.0,296.51,1.0,3.608,1.0,95.231,0.997917,0.363,1.0,3.587,0.770139,0.5501420892707043,0.7458333333333335,96.95675000000001,1.0,317.48036111111105,1.0,24.779680555555554,1.0,81.20902777777776,1.0,14.890993055555557,1.0,348.25027777777774,1.0,415.447,0.995833,4.659,4.404,4.456,4.189,4.058,4.035,3.858,3.697,4.071,0.998611,0.998611,0.998611,0.998611,0.998611,0.998611,0.998611,0.998611,0.998611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.28549,0.994444,22.1358,0.395139,31.2441,-9999,29.8175,0.655556,42.0867,6.79039,1.00225,0.384028,-9999,0.973275,1.01573,1.0158,0.392361,0.392361,0.384028,1.93987,1.92263,1.93333,1.94268,0.878214,0.915921,0.925272,0.952859,1.15158,0.919722,1.00861,1.15158,8.20816,8.14806,8.26363,8.55626,-9999,-9999
201705,9.4,0.950269,453.969,197.12,0.952285,315.876,0.949597,4.364,0.950269,94.964,0.922043,0.479,1.0,3.248,0.850806,0.47833638882193763,0.8192204301075269,129.44263082358486,0.9126344086021506,410.3304350556019,0.8514784946236559,27.031477995374974,0.8514784946236559,96.69489193873129,0.9126344086021506,22.087349990124117,0.9126344086021506,372.2776261086475,0.9126344086021506,414.403,0.879704,9.112,8.81,8.63,8.08,7.688,7.272,6.645,5.88,5.511,0.950269,0.950269,0.950269,0.950269,0.950269,0.950269,0.950269,0.950269,0.950269,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.45489,0.91129,58.8731,0.0,80.237,2.48196,44.9228,0.666667,61.2243,1.30722,-2.87538,0.0,-9999,-2.93587,-2.91631,-2.67673,0.0,0.0,0.0,3.05524,3.03772,3.05654,3.06742,5.83826,5.74289,5.9131,5.97824,1.87525,1.49916,1.61441,1.87525,9.46122,9.40469,9.53231,9.85672,-9999,-9999
201706,16.729,0.99375,485.586,236.931,0.99375,351.036,0.99375,6.917,0.99375,94.948,0.980556,0.363,1.0,3.381,0.860417,0.45300463855169454,0.8277777777777777,138.39244669669674,0.9923611111111111,494.87670316119693,0.8972222222222223,25.105888795045043,0.8972222222222223,92.59216591591594,0.9923611111111111,42.61781813063063,0.9923611111111111,408.3514470720721,0.9923611111111111,408.787,0.9875,14.044,13.69,13.338,12.599,12.002,11.284,10.217,8.814,7.697,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,8.785,-9999,-9999,7.852,-9999,-9999,1.509,-9999,0.0,-9999,-9999,0.0,-9999,-9999,0.0,-9999,6.41208,0.986806,76.4711,0.623611,98.5969,0.83512,34.7738,0.870833,44.8351,0.68435,-4.8921,0.0291667,0.2693,-5.03735,-4.93187,-4.8921,0.025,0.03125,0.0291667,4.81391,4.80555,4.81505,4.838,9.58689,9.69114,9.72719,9.85864,3.84222,3.22486,3.37342,3.84222,10.3053,10.2373,10.3949,10.738,-9999,-9999
201707,19.096,0.965054,470.376,260.604,0.968414,358.285,0.965726,6.342,0.584677,95.487,0.938172,0.911,1.0,2.764,0.883065,0.3549027246706297,0.8689516129032259,158.39161895816886,0.9408602150537635,539.7725848702588,0.9018817204301075,23.8919435790158,0.9018817204301075,93.67088852231997,0.9428763440860215,47.305568105671014,0.9415322580645162,422.23541255826143,0.9415322580645162,399.208,0.942204,16.32,15.926,15.557,14.776,14.158,13.397,12.244,10.714,9.477,0.966398,0.966398,0.966398,0.966398,0.966398,0.966398,0.966398,0.966398,0.966398,8.78,-9999,-9999,7.853,-9999,-9999,1.865,-9999,0.0,-9999,-9999,0.0,-9999,-9999,0.0,-9999,7.1994,0.952285,87.0367,0.942204,112.219,0.759547,30.4025,0.956989,39.199,0.69405,-5.18109,0.890457,0.11826,-5.19185,-5.14871,-5.01948,0.86828,0.856183,0.84207,5.10129,5.11115,5.33104,6.17922,10.3043,10.3129,10.4088,11.1792,5.27113,4.55747,5.21548,5.43387,10.2,9.75648,10.2053,10.7602,-9999,-9999
201708,15.915,0.959677,412.112,197.524,0.961022,348.824,0.959677,4.373,0.671371,95.513,0.917339,3.387,1.0,3.04,0.847446,0.3607844630270044,0.8118279569892474,111.6273378270971,0.9348118279569891,406.43677778796774,0.9341397849462365,19.24339019320127,0.9341397849462365,88.8964309733431,0.9348118279569891,35.56194913181707,0.9348118279569891,402.7537432746392,0.9348118279569891,396.817,0.946909,15.057,14.844,14.924,14.504,14.205,13.846,13.01,11.754,10.677,0.959005,0.958333,0.959005,0.958333,0.958333,0.958333,0.959677,0.959677,0.959677,8.782,-9999,-9999,7.854,-9999,-9999,2.016,9.071,0.0,-9999,-9999,0.0,-9999,-9999,0.00134409,0.0,2.09085,0.951613,63.4822,0.955645,86.2384,0.607361,16.922,0.956989,22.9879,0.551797,-3.40435,0.933468,0.0807111,-3.4729,-3.37153,-3.33056,0.934812,0.933468,0.934812,5.08597,5.04545,5.07822,5.13415,8.52674,8.41329,8.50605,8.54224,3.84867,3.44855,3.96651,4.54959,7.26629,6.94527,7.16522,7.50336,-9999,-9999
201709,15.298,1.0,326.242,161.251,1.0,341.54,1.0,4.449,1.0,95.52,0.992361,2.757,1.0,3.424,0.913889,0.4406310215746706,0.8868055555555556,78.31196527777779,1.0,329.0000555555555,1.0,19.30613194444444,1.0,65.43319444444445,1.0,27.73886111111111,1.0,399.2638888888888,1.0,405.993,0.984722,14.402,14.219,14.322,13.913,13.658,13.406,12.716,11.688,10.906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.785,-9999,-9999,7.852,8.937,6.674,2.141,9.08,0.0,-9999,-9999,0.0,0.0,0.000694444,0.000694444,0.000694444,1.65588,0.990972,48.4062,0.702778,70.3287,0.491862,5.22605,0.900694,7.59286,0.516526,-1.76682,0.68125,0.060001,-1.82014,-1.7929,-1.77787,0.681944,0.68125,0.68125,4.45178,4.44453,4.46199,4.4806,6.2654,6.23939,6.26768,6.28091,2.55434,2.46722,2.50101,2.72875,3.01839,3.0653,3.09409,3.11217,-9999,-9999
201710,8.225,0.987903,231.304,98.094,0.989247,309.296,0.985887,3.036,0.767473,95.118,0.96371,3.749,1.0,3.913,0.817204,0.5515179780925075,0.7701612903225806,31.874495833333338,0.9522849462365592,205.4235872222222,0.9522849462365592,18.540487499999998,0.9522849462365592,46.960086021505376,0.9690860215053764,14.051945000000002,0.9522849462365592,361.29125,0.9522849462365592,411.153,0.657258,8.999,9.132,9.936,10.174,10.511,11.131,11.295,11.18,10.938,0.978495,0.978495,0.978495,0.978495,0.978495,0.978495,0.978495,0.978495,0.978495,8.794,-9999,-9999,7.849,8.933,6.68,2.262,9.077,0.0,-9999,-9999,0.0,0.000672043,0.0,0.0,0.0,-4.07507,0.978495,21.4585,0.988575,29.2958,0.327859,9.96963,0.991263,13.6108,0.524576,1.14686,0.961694,0.0343154,1.12702,1.14323,1.16448,0.959677,0.961694,0.954973,2.19702,2.17836,2.19888,2.23538,1.10386,1.02603,1.03896,1.10472,2.09817,1.94253,1.99758,2.14168,1.03789,0.980435,1.03257,1.0628,-9999,-9999
