TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-13.929,0.0,118.248,52.001,0.0,221.988,0.0,0.542,0.0,95.312,0.0,0.494,0.0,3.733,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.1013,0.0,5.81961,0.0,5.6114,-9999,5.2288,0.0,5.04173,-9999,2.11762,0.0,-9999,2.0754,2.11762,2.11762,0.0,0.0,0.0,0.535349,0.521104,0.527139,0.538008,-1.59086,-1.59652,-1.59048,-1.53097,0.0772728,0.0533149,0.0682806,0.0775333,4.12222,4.10702,4.23889,4.31349,-9999,-9999
20170108,20170114,-13.617,0.0,125.02,57.401,0.0,221.075,0.0,0.581,0.0,95.633,0.0,2.349,0.0,3.447,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.09815,0.0,5.90073,0.0,8.27159,-9999,5.19074,0.0,7.27633,-9999,2.1164,0.0,-9999,2.07418,2.1164,2.1164,0.0,0.0,0.0,0.494937,0.478734,0.485597,0.497964,-1.63123,-1.63767,-1.6308,-1.56891,0.0353705,0.0227431,0.0312544,0.0354897,4.24905,4.23131,4.36267,4.4433,-9999,-9999
20170115,20170121,-2.348,0.0,134.586,60.041,0.0,266.798,0.0,0.944,0.0,94.949,0.0,0.966,0.0,2.909,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.10287,0.0,5.5182,0.0,7.38211,-9999,4.7733,0.0,6.3856,-9999,2.11762,0.0,-9999,2.0754,2.11762,2.11762,0.0,0.0,0.0,1.2209,1.19904,1.20964,1.22436,-0.907981,-0.915472,-0.907487,-0.842736,0.341143,0.248086,0.291591,0.341538,4.43135,4.41247,4.54863,4.63341,-9999,-9999
20170122,20170128,-2.108,0.0,146.824,40.32,0.0,292.984,0.0,0.715,0.0,94.376,0.0,0.771,0.0,2.88,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.1013,0.0,5.81961,0.0,7.50624,-9999,5.2288,0.0,6.7442,-9999,2.11762,0.0,-9999,2.0754,2.11762,2.11762,0.0,0.0,0.0,1.22958,1.20712,1.21839,1.23314,-0.899602,-0.9073,-0.899094,-0.833731,0.322534,0.233528,0.275549,0.322907,3.6696,3.66098,3.78934,3.84675,-9999,-9999
20170129,20170204,-11.967,0.616071,161.551,77.481,0.619048,218.958,0.616071,0.702,0.616071,95.009,0.607143,0.94,0.0,3.831,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.57461,0.0,3.29986,0.0,4.03085,-9999,7.78351,0.0,9.50773,-9999,2.12891,0.0,-9999,2.10072,2.12891,2.12891,0.0,0.0,0.0,0.577812,0.560205,0.56767,0.581094,-1.5617,-1.5687,-1.56124,-1.51172,0.0437023,0.0278159,0.0386167,0.0438496,5.28952,5.26381,5.4117,5.52497,-9999,-9999
20170205,20170211,-9.611,1.0,178.521,69.088,1.0,250.314,1.0,0.817,1.0,94.748,1.0,1.458,0.0,3.234,0.0,-9999,-9999,31.927743055555556,1.0,163.18788194444443,1.0,30.53743055555555,1.0,40.70694444444445,1.0,14.631597222222224,1.0,275.3652777777778,1.0,414.211,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.66622,0.0,0.909,0.0,1.11036,-9999,8.7526,0.0,10.6915,1.17916,2.21185,0.0,-9999,2.19629,2.21185,2.21185,0.0,0.0,0.0,0.728196,0.709829,0.717626,0.73161,-1.49471,-1.50202,-1.49422,-1.45647,0.0928136,0.0628621,0.0820128,0.0931265,4.79527,4.77412,4.91998,5.01292,-9999,-9999
20170212,20170218,-1.829,1.0,197.431,102.433,1.0,250.745,1.0,2.371,1.0,94.601,1.0,0.466,0.0357143,4.357,0.0,-9999,-9999,27.133020833333333,1.0,200.24402777777777,1.0,36.24434027777778,1.0,46.921875,1.0,17.076006944444444,1.0,303.8930555555555,1.0,415.587,0.324405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.85539,0.357143,2.26623,0.0,2.7114,-9999,18.3496,0.258929,21.9541,0.66009,2.14231,0.0,-9999,2.10603,2.14231,2.14231,0.0,0.0,0.0,1.26804,1.2477,1.25756,1.27127,-0.884753,-0.891721,-0.884293,-0.827032,0.497103,0.385307,0.432471,0.497679,6.34356,6.31617,6.42084,6.61879,-9999,-9999
20170219,20170225,0.586,0.96131,217.928,86.388,0.964286,285.469,0.96131,2.034,0.958333,94.7,0.928571,0.0,1.0,3.929,0.714286,0.6028874013622516,0.6423611111111112,36.010958333333335,0.8333333333333334,182.00179166666666,0.8333333333333334,31.937166666666666,0.8333333333333334,43.50083333333333,0.8333333333333334,13.704333333333333,0.8333333333333334,331.7229166666667,0.8333333333333334,416.805,0.9375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.03227,0.955357,1.88808,0.0,2.2506,-9999,11.445,0.866071,13.6424,0.627906,2.2347,0.0,-9999,2.19649,2.2347,2.2347,0.0,0.0,0.0,1.45962,1.44149,1.45029,1.46249,-0.784408,-0.790622,-0.783999,-0.727123,0.717399,0.563913,0.63294,0.718229,5.76119,5.73271,5.89081,6.01698,-9999,-9999
20170226,20170304,-7.405,1.0,239.63,107.194,1.0,235.584,1.0,1.036,1.0,95.431,0.991071,0.212,1.0,4.019,0.988095,0.5093609943079384,0.9895833333333335,33.75795138888889,1.0,198.79746527777777,1.0,39.32618055555556,1.0,52.03888888888889,1.0,18.936319444444443,1.0,286.1475694444444,1.0,414.712,0.997024,-9999,-9999,-9999,-9999,-9999,-9999,2.497,3.122,4.192,-9999,-9999,-9999,-9999,-9999,-9999,0.130952,0.130952,0.130952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.34979,0.979167,2.89632,0.0327381,3.60444,-9999,16.6218,0.875,20.6857,0.647452,2.16592,0.0,-9999,2.15099,2.16592,2.16592,0.0,0.0,0.0,0.866421,0.847135,0.855508,0.869941,-1.31091,-1.31848,-1.31041,-1.27259,0.152394,0.107507,0.13466,0.152908,6.34936,6.32187,6.45292,6.62501,-9999,-9999
20170305,20170311,-5.915,0.863095,262.142,137.295,0.875,236.292,0.863095,1.271,0.863095,95.132,0.800595,0.495,1.0,6.091,0.681548,-9999,-9999,51.76703125,0.6666666666666666,236.1076041666667,0.6666666666666666,36.935520833333335,0.6666666666666666,49.76041666666667,0.6666666666666666,18.804427083333334,0.6666666666666666,301.8765625,0.6666666666666666,415.45,0.824405,-9999,-9999,-9999,-9999,-9999,-9999,2.564,3.166,4.229,-9999,-9999,-9999,-9999,-9999,-9999,0.699405,0.699405,0.699405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.43728,0.857143,3.65847,0.0833333,5.3865,-9999,29.4777,0.672619,43.4011,0.718402,2.22417,0.014881,-9999,2.19853,2.22417,2.22417,0.014881,0.014881,0.014881,1.0017,0.982143,0.99205,1.00482,-1.23257,-1.23926,-1.23212,-1.18622,0.344364,0.263961,0.296271,0.344762,7.25436,7.20637,7.30402,7.55968,-9999,-9999
