ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.270353,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.21309,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.241508,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.270353,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.283553,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,38.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.248987,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.188417,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.228752,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.25659,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.277629,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,56.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.27555,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.230313,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.251807,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.27555,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.288314,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,56.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.27555,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.230313,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.251807,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.27555,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.288314,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,56.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.27555,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,56.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.230313,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,56.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.251807,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,56.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.27555,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,56.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.288314,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,63.75,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.284903,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,78.75,2018
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.270353,2018
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,78.75,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.280649,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,78.75,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.307888,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,78.75,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.321178,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,31.25,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.22903,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,28.75,2018
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.165249,2018
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,28.75,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.192701,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,28.75,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.217723,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,28.75,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.254879,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,31.25,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.22903,-9999
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,28.75,2018
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.165249,2018
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,28.75,2019
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.192701,2019
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,28.75,2020
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.217723,2020
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,28.75,2021
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.254879,2021
19,RECO_NT_CUT_REF,WW_USTAR_PERCENTILE,31.25,-9999
19,RECO_NT_CUT_REF,WW_USTAR_THRESHOLD,0.22903,-9999
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2018
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.165249,2018
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2019
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.192701,2019
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2020
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.217723,2020
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2021
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.254879,2021
21,RECO_NT_CUT_REF,MM_USTAR_PERCENTILE,23.75,-9999
21,RECO_NT_CUT_REF,MM_USTAR_THRESHOLD,0.202403,-9999
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,28.75,2018
