SiteID ,SoilN_Pcent,CtoN,N_Minerlization
BONA,0.81,25.95,0.22
CLBJ,0.07,5.35,0.9
DCFS,0.33,8.47,0.16
DEJU,0.46,23.81,0.08
DELA,0.14,10.97,0.15
DSNY,0.06,25.18,0.03
GRSM,0.48,22.88,
GUAN,1.35,15.46,1.04
HARV,0.7,24.38,0.34
JERC,0.04,24.6,0.03
JORN,0.03,7.26,0.05
KONA,0.13,9.85,0.06
KONZ,0.38,12.33,0.14
LENO,0.16,10.47,0.12
MLBS,0.48,18.86,0.64
MOAB,0.05,5.44,0.01
NIWO,0.68,20.06,0.08
OAES,0.15,7.11,0.05
ORNL,0.28,17.39,0.39
PUUM,1.48,20.28,0.82
SCBI,0.23,11.83,0.38
SERC,0.13,12.41,
SJER,0.09,11.67,0.17
SOAP,0.15,21.83,0.05
STEI,0.38,16.33,0.33
STER,0.1,10.28,0.07
TALL,0.1,27.64,0.2
TOOL,1.05,23.01,0.62
UKFS,0.42,12.25,0.12
UNDE,0.57,16.16,0.74
WOOD   ,0.41,9.03,
WREF ,0.28,34.1,0.02
