# Citation information for the selected data product for each site selected.
# Newly published BASE and FLUXNET data products may not yet have a DOI for citation. Check the site's AmeriFlux Site Info webpage in a few days.
# Read more information about citing AmeriFlux data at the Data Policy webpage: https://ameriflux.lbl.gov/data/data-policy
# Citation information can also be acquired by making a Site Set (https://ameriflux.lbl.gov/sites/site-sets/) for your downloaded sites and use the "Download for Set: DOIs as ASCII" feature to acquire a list of DOI citations.
# Citation information can also be found on each site's AmeriFlux Site Info webpage. Access Site Info pages via Site Search: https://ameriflux.lbl.gov/sites/site-search/
site_id,author,title,publication_year,publisher,doi,doi_url,citation
"US-xAE","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xAE NEON Klemme Range Research Station (OAES), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985434","http://doi.org/10.17190/AMF/1985434","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xAE NEON Klemme Range Research Station (OAES), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985434"
"US-xBR","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xBR NEON Bartlett Experimental Forest (BART), Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1881598","http://doi.org/10.17190/AMF/1881598","NEON (National Ecological Observatory Network) (2022), AmeriFlux FLUXNET-1F US-xBR NEON Bartlett Experimental Forest (BART), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1881598"
"US-xCL","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xCL NEON LBJ National Grassland (CLBJ), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985435","http://doi.org/10.17190/AMF/1985435","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xCL NEON LBJ National Grassland (CLBJ), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985435"
"US-xCP","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xCP NEON Central Plains Experimental Range (CPER), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985436","http://doi.org/10.17190/AMF/1985436","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xCP NEON Central Plains Experimental Range (CPER), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985436"
"US-xDC","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xDC NEON Dakota Coteau Field School (DCFS), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985437","http://doi.org/10.17190/AMF/1985437","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xDC NEON Dakota Coteau Field School (DCFS), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985437"
"US-xDL","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xDL NEON Dead Lake (DELA), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985438","http://doi.org/10.17190/AMF/1985438","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xDL NEON Dead Lake (DELA), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985438"
"US-xDS","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xDS NEON Disney Wilderness Preserve (DSNY), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985439","http://doi.org/10.17190/AMF/1985439","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xDS NEON Disney Wilderness Preserve (DSNY), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985439"
"US-xGR","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xGR NEON Great Smoky Mountains National Park, Twin Creeks (GRSM), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985440","http://doi.org/10.17190/AMF/1985440","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xGR NEON Great Smoky Mountains National Park, Twin Creeks (GRSM), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985440"
"US-xHA","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xHA NEON Harvard Forest (HARV), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985441","http://doi.org/10.17190/AMF/1985441","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xHA NEON Harvard Forest (HARV), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985441"
"US-xHE","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xHE NEON Healy (HEAL), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985442","http://doi.org/10.17190/AMF/1985442","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xHE NEON Healy (HEAL), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985442"
"US-xJE","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xJE NEON Jones Ecological Research Center (JERC), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985443","http://doi.org/10.17190/AMF/1985443","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xJE NEON Jones Ecological Research Center (JERC), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985443"
"US-xKA","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xKA NEON Konza Prairie Biological Station - Relocatable (KONA), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985444","http://doi.org/10.17190/AMF/1985444","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xKA NEON Konza Prairie Biological Station - Relocatable (KONA), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985444"
"US-xKZ","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xKZ NEON Konza Prairie Biological Station (KONZ), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985445","http://doi.org/10.17190/AMF/1985445","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xKZ NEON Konza Prairie Biological Station (KONZ), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985445"
"US-xMB","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xMB NEON Moab (MOAB), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985446","http://doi.org/10.17190/AMF/1985446","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xMB NEON Moab (MOAB), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985446"
"US-xML","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xML NEON Mountain Lake Biological Station (MLBS), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985447","http://doi.org/10.17190/AMF/1985447","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xML NEON Mountain Lake Biological Station (MLBS), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985447"
